District/ Division,None,Area Under Garden (acre),None_1,None_2,Production of Inside Garden (M.Tons),None_3,None_4,Production of Outside Garden (M.Tons),None_5,None_6,Total Production of Inside & Outside Garden (M. Tons),None_7,None_8
32,Chuadanga,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33,Jashore,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
34,Jhenaidah,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35,Khulna,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
36,Kushtia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
37,Magura,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2 023-24
38,Meherpur,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
39,Narail,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
40,Satkhira,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Khulna Division,None,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
41,Jamalpur,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
42,Mymensingh,69.00,70.31,70.31,47.23,46.95,48.82,117.77,120.05,127.17,165.00,167.00,175.99
43,Netrokona,16.00,18.59,18.59,0,5.776,6.16,55.00,43.22,48.83,55.00,49.00,54.99
44,Sherpur,5.00,5.18,5.18,41.89,36.93,33.16,5.11,4.064,3.84,47.00,41.00,37.00
Mymensingh Division,None,90.00,94.08,94.08,89.12,89.656,88.14,177.88,167.338,179.84,267.00,256.99,267.98
45,Bogura,1.98,2.00,1.90,0.00,0.00,0.00,6.89,7,7.40,6.89,7,7.40
46,Joypurhat,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
47,Naogaon,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
48,Natore,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
49,Chapai Nawabganj,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
50,Pabna,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
51,Rajshahi,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
52,Sirajganj,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Rajshahi Division,None,1.98,2.00,2.30,0.00,0.00,0.00,6.89,7,7.40,6.89,7,7.40
53,Dinajpur,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
54,Gaibandha,1.38,1.57,1.67,0.00,0.00,0.00,4.25,4.96,5.08,4.25,4.96,5.08
55,Kurigram,16.24,16.52,16.00,2.62,3.25,3.46,77.92,77.93,76.54,80.54,81.18,80.00
56,Lalmonirhat,9.11,10.07,11.77,6.46,6.44,6.14,68.93,69.38,68.47,75.39,75.82,74.61
57,Nilphamari,5.79,6.02,6.90,0,0,0.00,34.71,37.08,41.57,34.71,37.08,41.57
58,Panchagar,19.88,22.07,23.68,14.82,22.818,28.67,57.45,65.74,70.71,72.27,88.558,99.37
59,Rangpur,3.23,3.75,4.26,0.00,0.00,0.00,55.00,67.00,74.09,55.00,67.00,74.09
60,Thakurgaon,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,0.00
Rangpur Divison,None,55.63,60.00,64.28,23.9,32.508,38.26,298.26,322.09,336.46,322.16,354.598,374.72
61,Habiganj,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0,0,0.00
62,Moulvibazar,13.78,13.80,13.82,0.00,0.00,0.00,24.96,25.55,25.51,24.96,25.55,25.51
63,Sunamganj,0.40,0.40,0.40,0.00,0.00,0.00,0.90,0.99,1.06,0.90,0.99,1.06
64,Sylhet,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sylhet Division,None,14.18,14.20,14.22,0.00,0.00,0.00,25.86,26.54,26.57,25.86,26.54,26.57
BANGLADESH,None,456.71,470.25,479.60,1462.58,1514.85,1483.46,1194.48,1231.24,1307.52,2657.06,2746.09,"2790.9
8"
