District/ Division,None,Area Under Garden (acre),None_1,None_2,Production of Inside Garden (M.Tons),None_3,None_4,Production of Outside Garden (M.Tons),None_5,None_6,Total Production of Inside & Outside Garden (M. Tons),None_7,None_8
Dhaka Division,None,533.15,568.90,571.97,190.77,85.26,83.40,2785.04,3113.46,3108.03,2975.81,3198.72,3191.43
31,Bagerhat,32.83,33.76,34.52,0.00,0.00,0.00,209.00,165.64,160.89,209.00,165.64,160.89
32,Chuadanga,3.90,3.93,7.37,0.00,0.00,0.00,16.00,15.72,23.03,16.00,15.72,23.03
33,Jashore,80.40,79.42,77.19,28.43,6.77,6.23,227.57,231.88,238.77,256.00,238.65,245.00
34,Jhenaidah,34.70,36.07,37.46,0.00,0.00,0.00,73.00,76.75,80.54,73.00,76.75,80.54
35,Khulna,51.38,51.01,52.77,0.00,0.00,0.00,132.00,128.97,130.17,132.00,128.97,130.17
36,Kushtia,3.00,3.00,2.00,0.00,0.00,0.00,20.00,18.53,8.00,20.00,18.53,8.00
37,Magura,17.07,16.25,16.33,0.00,0.00,0.00,98.00,101.08,101.96,98.00,101.08,101.96
38,Meherpur,3.09,3.48,4.67,0.00,0.00,0.00,2.00,2.14,2.98,2.00,2.14,2.98
39,Narail,68.75,61.26,44.00,0.00,0.00,0.00,26.00,28.10,29.00,26.00,28.10,29.00
40,Satkhira,78.63,79.77,80.18,0.00,0.00,0.00,114.00,114.65,117.35,114.00,114.65,117.35
Khulna Division,None,373.75,367.95,356.49,28.43,6.77,6.23,917.57,883.46,892.69,946.00,890.23,898.92
41,Jamalpur,201.00,201.00,207.00,0.00,0.00,0.00,1136.00,1133.0,1172.0,1136.0,1133.0,1172.0
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24
,,,,,,,,,0,0,0,0,0
42,Mymensingh,551.00,551.00,571.00,0.00,0.00,0.00,2111.00,"2114.0
0","2199.0
0","2111.0
0","2114.0
0","2199.0
0"
43,Netrokona,201.00,130.00,134.00,0.00,0.00,0.00,968.00,975.00,969.00,968.00,975.00,969.00
44,Sherpur,52.48,52.00,51.00,0.00,0.00,0.00,489.00,498.00,496.00,489.00,498.00,496.00
Mymensingh Division,None,1005.48,934.00,963.00,0.00,0.00,0.00,4704.00,4720.00,4836.00,4704.00,4720.00,4836.00
45,Bogura,110.20,109.00,81.00,0.00,0.00,0.00,480.00,492.00,318.00,480.00,492.00,318.00
46,Joypurhat,29.80,30.00,30.00,0.00,0.00,0.00,194.00,187.00,197.00,194.00,187.00,197.00
47,Naogaon,61.40,58.00,55.00,29.34,38.56,40.58,399.66,531.44,537.42,429.00,570.00,578.00
48,Natore,21.00,26.00,28.00,5.91,4.67,4.76,167.09,168.33,174.24,173.00,173.00,179.00
49,Chapai Nawabganj,0.10,0.20,0.23,0.00,0.00,0.00,0.41,1.00,1.00,0.41,1.00,1.00
50,Pabna,3.40,3.00,5.00,0.00,0.00,0.00,28.00,31.00,45.00,28.00,31.00,45.00
51,Rajshahi,40.30,31.00,31.00,0.00,0.00,0.00,145.00,128.00,111.00,145.00,128.00,111.00
52,Sirajganj,21.00,21.00,27.00,0.00,0.00,0.00,281.00,313.00,328.00,281.00,313.00,328.00
Rajshahi Division,None,287.20,278.20,257.23,35.25,43.23,45.34,1695.16,1851.77,1711.66,1730.41,1895.00,1757.00
53,Dinajpur,56.00,42.00,44.00,0.00,0.00,0.00,338.00,243.00,256.00,338.00,243.00,256.00
54,Gaibandha,31.05,20.14,20.71,0.00,0.00,0.00,190.81,223.40,229.00,190.81,223.40,229.00
55,Kurigram,32.75,32.07,33.00,0.00,0.00,0.00,184.29,174.20,179.00,184.29,174.20,179.00
56,Lalmonirhat,191.87,192.44,183.58,0.00,0.00,0.00,772.92,853.57,745.47,772.92,853.57,745.47
57,Nilphamari,49.51,50.88,53.96,0.00,6.13,5.89,439.85,428.86,438.39,439.85,434.99,444.28
58,Panchagar,46.23,47.54,49.00,0.00,0.00,0.00,365.40,400.77,428.00,365.40,400.77,428.00
59,Rangpur,19.40,19.80,20.20,0.00,0.00,0.00,247.23,275.57,292.99,247.23,275.57,292.99
60,Thakurgaon,23.79,22.09,23.07,0.00,0.00,0.00,251.31,256.44,431.42,251.31,256.44,431.42
Rangpur Divison,None,450.60,426.96,427.52,0.00,6.13,5.89,2789.81,2855.81,3000.27,2789.81,2861.94,3006.16
61,Habiganj,40.40,47.73,48.59,0.00,0.00,0.00,61.83,47.08,42.36,61.83,47.08,42.36
62,Moulvibazar,188.54,171.51,149.01,0.00,0.00,0.00,520.45,520.24,665.13,520.45,520.24,665.13
63,Sunamganj,120.00,121.00,120.50,0.00,0.00,0.00,669.00,694.00,698.70,669.00,694.00,698.70
64,Sylhet,156.55,121.43,132.66,13.79,18.09,3.90,337.22,223.46,252.80,351.01,241.55,256.70
Sylhet Division,None,505.49,461.67,450.76,13.79,18.09,3.90,1588.50,1484.78,1658.99,1602.29,1502.87,1662.89
BANGLADESH,None,5101.22,4794.43,4799.11,348.94,232.71,217.53,18147.46,18593.26,18936.01,18496.40,18825.97,19153.54
